ensembl_gene_id,external_gene_name,gene_biotype,chromosome_name,start_position,end_position,strand,description
ENSG00000254833,,lncRNA,11,126160714,126176035,1,novel transcript
ENSG00000256256,,lncRNA,12,25882953,25885855,-1,novel transcript
ENSG00000257294,,lncRNA,12,60092864,60096071,1,novel transcript
ENSG00000260846,FRG2HP,transcribed_unprocessed_pseudogene,16,35335277,35336889,-1,"FSHD region gene 2 family member H, pseudogene [Source:HGNC Symbol;Acc:HGNC:51794]"
ENSG00000261284,RBM22P13,processed_pseudogene,16,31863633,31864876,1,RNA binding motif protein 22 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:49208]
ENSG00000262791,WDR81-AS1,lncRNA,17,1725748,1738585,-1,WDR81 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58142]
ENSG00000263301,,lncRNA,17,7439159,7443327,-1,"novel transcript, antisense to FGF11"
ENSG00000264559,MIR3162,miRNA,11,59595077,59595158,-1,microRNA 3162 [Source:HGNC Symbol;Acc:HGNC:38271]
ENSG00000265145,SNORD53,snoRNA,2,28927067,28927144,1,"small nucleolar RNA, C/D box 53 [Source:HGNC Symbol;Acc:HGNC:10203]"
ENSG00000265291,MIR4710,miRNA,14,104677694,104677749,-1,microRNA 4710 [Source:HGNC Symbol;Acc:HGNC:41727]
ENSG00000267414,SETBP1-DT,lncRNA,18,44676927,44679717,-1,SETBP1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:54819]
ENSG00000268163,,protein_coding,19,57437970,57477536,-1,novel transcript
ENSG00000268654,MIMT1,lncRNA,19,56840853,56848560,1,MER1 repeat containing imprinted transcript 1 [Source:HGNC Symbol;Acc:HGNC:33464]
ENSG00000270733,,processed_pseudogene,1,26263041,26263398,-1,mitochondrial ribosomal protein S6 (MRPS6) pseudogene
ENSG00000270856,,processed_pseudogene,13,61927090,61927272,-1,cyclin-dependent kinase 2 associated protein 1 (CDK2AP1) pseudogene
ENSG00000272319,,unprocessed_pseudogene,10,42579724,42579858,1,double homeobox 4 (DUX4) pseudogene
ENSG00000273151,,lncRNA,7,879790,886547,-1,"novel transcript, antisense to GET4"
ENSG00000274091,SNORD1C,snoRNA,17,76558791,76558868,1,"small nucleolar RNA, C/D box 1C [Source:HGNC Symbol;Acc:HGNC:32677]"
ENSG00000275592,VN1R7P,processed_pseudogene,21,10357400,10358620,1,vomeronasal 1 receptor 7 pseudogene [Source:HGNC Symbol;Acc:HGNC:8496]
ENSG00000275714,H3C1,protein_coding,6,26020451,26021487,1,H3 clustered histone 1 [Source:HGNC Symbol;Acc:HGNC:4766]
ENSG00000277577,,misc_RNA,X,73831145,73831270,-1,
ENSG00000279372,,TEC,17,82035403,82035800,-1,TEC
ENSG00000279440,,lncRNA,22,27019369,27024550,1,novel transcript
ENSG00000282879,,processed_pseudogene,7,56736396,56736590,-1,translation machinery associated 7 homolog (S. cerevisiae) (TMA7) pseudogene
ENSG00000008118,CAMK1G,protein_coding,1,209583714,209613939,1,calcium/calmodulin dependent protein kinase IG [Source:HGNC Symbol;Acc:HGNC:14585]
ENSG00000051825,MPHOSPH9,protein_coding,12,123152320,123244014,-1,M-phase phosphoprotein 9 [Source:HGNC Symbol;Acc:HGNC:7215]
ENSG00000052344,PRSS8,protein_coding,16,31131433,31135727,-1,serine protease 8 [Source:HGNC Symbol;Acc:HGNC:9491]
ENSG00000057663,ATG5,protein_coding,6,106045423,106326477,-1,autophagy related 5 [Source:HGNC Symbol;Acc:HGNC:589]
ENSG00000058799,YIPF1,protein_coding,1,53847531,53890683,-1,Yip1 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:25231]
ENSG00000060069,CTDP1,protein_coding,18,79679803,79754503,1,CTD phosphatase subunit 1 [Source:HGNC Symbol;Acc:HGNC:2498]
ENSG00000080503,SMARCA2,protein_coding,9,1980290,2193624,1,SWI/SNF related BAF chromatin remodeling complex subunit ATPase 2 [Source:HGNC Symbol;Acc:HGNC:11098]
ENSG00000102755,FLT1,protein_coding,13,28300346,28495145,-1,fms related receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:3763]
ENSG00000105438,KDELR1,protein_coding,19,48382575,48393837,-1,KDEL endoplasmic reticulum protein retention receptor 1 [Source:HGNC Symbol;Acc:HGNC:6304]
ENSG00000110446,SLC15A3,protein_coding,11,60937060,60952653,-1,solute carrier family 15 member 3 [Source:HGNC Symbol;Acc:HGNC:18068]
ENSG00000112237,CCNC,protein_coding,6,99542387,99568825,-1,cyclin C [Source:HGNC Symbol;Acc:HGNC:1581]
ENSG00000112685,EXOC2,protein_coding,6,485133,693169,-1,exocyst complex component 2 [Source:HGNC Symbol;Acc:HGNC:24968]
ENSG00000115806,GORASP2,protein_coding,2,170928464,170967135,1,golgi reassembly stacking protein 2 [Source:HGNC Symbol;Acc:HGNC:17500]
ENSG00000143486,EIF2D,protein_coding,1,206571292,206612514,-1,eukaryotic translation initiation factor 2D [Source:HGNC Symbol;Acc:HGNC:6583]
ENSG00000143595,AQP10,protein_coding,1,154321090,154325325,1,aquaporin 10 [Source:HGNC Symbol;Acc:HGNC:16029]
ENSG00000164294,GPX8,protein_coding,5,55160167,55167297,1,glutathione peroxidase 8 (putative) [Source:HGNC Symbol;Acc:HGNC:33100]
ENSG00000164951,PDP1,protein_coding,8,93857788,93926068,1,pyruvate dehydrogenase phosphatase catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:9279]
ENSG00000165572,KBTBD6,protein_coding,13,41127569,41132802,-1,kelch repeat and BTB domain containing 6 [Source:HGNC Symbol;Acc:HGNC:25340]
ENSG00000174996,KLC2,protein_coding,11,66257294,66267860,1,kinesin light chain 2 [Source:HGNC Symbol;Acc:HGNC:20716]
ENSG00000175701,MTLN,protein_coding,2,110211529,110245420,-1,mitoregulin [Source:HGNC Symbol;Acc:HGNC:27339]
ENSG00000176198,OR11H4,protein_coding,14,20239286,20244349,1,olfactory receptor family 11 subfamily H member 4 [Source:HGNC Symbol;Acc:HGNC:15347]
ENSG00000176654,NANOGP1,transcribed_unprocessed_pseudogene,12,7892576,7898903,1,Nanog homeobox pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23099]
ENSG00000178904,DPY19L3,protein_coding,19,32405543,32485895,1,dpy-19 like C-mannosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:27120]
ENSG00000180447,GAS1,protein_coding,9,86944362,86947506,-1,growth arrest specific 1 [Source:HGNC Symbol;Acc:HGNC:4165]
ENSG00000181698,OR5T1,protein_coding,11,56274154,56276819,1,olfactory receptor family 5 subfamily T member 1 [Source:HGNC Symbol;Acc:HGNC:14821]
ENSG00000182179,UBA7,protein_coding,3,49805205,49814151,-1,ubiquitin like modifier activating enzyme 7 [Source:HGNC Symbol;Acc:HGNC:12471]
ENSG00000182902,SLC25A18,protein_coding,22,17563086,17591909,1,solute carrier family 25 member 18 [Source:HGNC Symbol;Acc:HGNC:10988]
ENSG00000188760,TMEM198,protein_coding,2,219543130,219550595,1,transmembrane protein 198 [Source:HGNC Symbol;Acc:HGNC:33704]
ENSG00000188828,GLRA4,transcribed_unitary_pseudogene,X,103707224,103728203,-1,glycine receptor alpha 4 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:31715]
ENSG00000197253,TPSB2,protein_coding,16,1227272,1233725,-1,tryptase beta 2 [Source:HGNC Symbol;Acc:HGNC:14120]
ENSG00000197506,SLC28A3,protein_coding,9,84275457,84340758,-1,solute carrier family 28 member 3 [Source:HGNC Symbol;Acc:HGNC:16484]
ENSG00000200075,,snoRNA,8,129868590,129868716,-1,
ENSG00000200231,RNU1-23P,snRNA,20,24237255,24237398,1,"RNA, U1 small nuclear 23, pseudogene [Source:HGNC Symbol;Acc:HGNC:41964]"
ENSG00000203778,FAM229B,protein_coding,6,112087122,112104223,1,family with sequence similarity 229 member B [Source:HGNC Symbol;Acc:HGNC:33858]
ENSG00000205517,RGL3,protein_coding,19,11384341,11419352,-1,ral guanine nucleotide dissociation stimulator like 3 [Source:HGNC Symbol;Acc:HGNC:30282]
ENSG00000212445,,snoRNA,16,68189287,68189421,1,
ENSG00000214374,RPLP2P1,processed_pseudogene,6,27965175,27965514,1,ribosomal protein lateral stalk subunit P2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:18724]
ENSG00000214940,NPIPA8,protein_coding,16,18317919,18336736,-1,nuclear pore complex interacting protein family member A8 [Source:HGNC Symbol;Acc:HGNC:41983]
ENSG00000215057,PKMP5,processed_pseudogene,6,5972412,5974012,1,pyruvate kinase M1/2 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:44247]
ENSG00000216035,MIR938,miRNA,10,29602264,29602346,-1,microRNA 938 [Source:HGNC Symbol;Acc:HGNC:33681]
ENSG00000224723,GUSBP10,unprocessed_pseudogene,7,57177409,57180052,-1,GUSB pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:42324]
ENSG00000224725,CEP57L1P1,processed_pseudogene,10,70389426,70390626,1,centrosomal protein 57 like 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23521]
ENSG00000225976,CKS1BP2,processed_pseudogene,10,29697935,29698174,1,CDC28 protein kinase regulatory subunit 1B pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:24232]
ENSG00000226153,CHP1P3,processed_pseudogene,X,17705339,17705691,-1,CHP1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:54897]
ENSG00000226526,,lncRNA,1,16978926,17005091,1,novel transcript
ENSG00000227404,KRT8P20,processed_pseudogene,7,38655205,38656613,1,keratin 8 pseudogene 20 [Source:HGNC Symbol;Acc:HGNC:33372]
ENSG00000227713,,lncRNA,2,690574,731224,-1,novel transcript
ENSG00000228290,TBX18-AS1,lncRNA,6,84687712,84709578,1,TBX18 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:52256]
ENSG00000229533,,lncRNA,7,19144293,19146253,1,"novel transcript, antisense to FERD3L"
ENSG00000229553,USP9YP17,unprocessed_pseudogene,Y,22049755,22058113,-1,USP9Y pseudogene 17 [Source:HGNC Symbol;Acc:HGNC:38753]
ENSG00000230269,LINC02525,lncRNA,6,3182626,3195784,-1,long intergenic non-protein coding RNA 2525 [Source:HGNC Symbol;Acc:HGNC:53545]
ENSG00000231378,NDUFAF4P4,processed_pseudogene,1,174849667,174850168,-1,NADH:ubiquinone oxidoreductase complex assembly factor 4 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:44543]
ENSG00000231441,DST-AS1,lncRNA,6,56843928,56864338,1,DST antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40098]
ENSG00000232633,,lncRNA,5,113323028,113437174,1,novel transcript
ENSG00000233410,LINC01222,lncRNA,1,199006040,199021037,-1,long intergenic non-protein coding RNA 1222 [Source:HGNC Symbol;Acc:HGNC:49672]
ENSG00000233824,,lncRNA,7,25321070,25432228,-1,novel transcript
ENSG00000234703,RUNX1-AS2,lncRNA,21,35136638,35139222,1,RUNX1 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:58231]
ENSG00000234795,RFTN1P1,transcribed_unprocessed_pseudogene,Y,7712985,7776707,-1,"raftlin, lipid raft linker 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23971]"
ENSG00000234854,LINC00676,lncRNA,13,109728282,109730319,1,long intergenic non-protein coding RNA 676 [Source:HGNC Symbol;Acc:HGNC:44394]
ENSG00000234877,,lncRNA,2,78541681,78599406,1,novel transcript
ENSG00000235431,,lncRNA,7,9869774,9985895,1,novel transcript
ENSG00000238936,SNORD65B,snoRNA,8,41426655,41426727,1,"small nucleolar RNA, C/D box 65B [Source:HGNC Symbol;Acc:HGNC:52231]"
ENSG00000240954,RPL4P1,processed_pseudogene,14,21750269,21751546,1,ribosomal protein L4 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23551]
ENSG00000242727,,processed_pseudogene,4,76891034,76891445,1,ribosomal protein L26 (RPL26) pseudogene
ENSG00000248611,,processed_pseudogene,4,154555208,154555985,1,pseudogene similar to part of 5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase (ATIC)
ENSG00000248744,,lncRNA,4,45009540,45051652,1,novel transcript
ENSG00000249050,,processed_pseudogene,8,9453698,9457418,1,DENN/MADD domain containing 4A (DENND4A) pseudogene
ENSG00000251168,,lncRNA,5,7924292,7925398,1,novel transcript
ENSG00000252222,RNU7-13P,snRNA,1,184821428,184821489,-1,"RNA, U7 small nuclear 13 pseudogene [Source:HGNC Symbol;Acc:HGNC:34109]"
ENSG00000252266,Y_RNA,misc_RNA,4,5426885,5426984,-1,Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000252421,RNU6-1069P,snRNA,12,31802958,31803090,-1,"RNA, U6 small nuclear 1069, pseudogene [Source:HGNC Symbol;Acc:HGNC:48032]"
ENSG00000253266,,lncRNA,8,141055290,141060596,1,novel transcript
ENSG00000253271,,processed_pseudogene,8,117055818,117056145,1,Nuclear receptor coactivator 3 (NCoA-3) pseudogene
ENSG00000253284,,lncRNA,12,19147074,19154659,1,novel transcript
ENSG00000253981,ALG1L13P,transcribed_unprocessed_pseudogene,8,8238174,8241411,-1,"ALG1 like 13, pseudogene [Source:HGNC Symbol;Acc:HGNC:44382]"
ENSG00000256588,,lncRNA,11,18507608,18508820,-1,novel transcript
ENSG00000257235,,lncRNA,12,63004338,63006541,-1,novel transcript
ENSG00000258121,,lncRNA,12,48483287,48500961,-1,"novel transcript, antisense to C12orf54"
ENSG00000258279,LINC00592,lncRNA,12,52164115,52223880,1,long intergenic non-protein coding RNA 592 [Source:HGNC Symbol;Acc:HGNC:27474]
ENSG00000259470,KRT8P9,processed_pseudogene,15,70858714,70860162,1,keratin 8 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:33363]
ENSG00000259707,,processed_pseudogene,15,82691723,82692358,-1,serine/arginine-rich splicing factor 9 (SRSF9) pseudogene
ENSG00000259838,ELOCP2,unprocessed_pseudogene,15,41557027,41557435,1,elongin C pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:17762]
ENSG00000260933,,processed_pseudogene,16,18170356,18170959,1,"geminin, DNA replication inhibitor (GMNN) pseudogene"
ENSG00000263675,MIR5581,miRNA,1,37500935,37500994,-1,microRNA 5581 [Source:HGNC Symbol;Acc:HGNC:43527]
ENSG00000263860,,lncRNA,17,30550485,30551861,-1,novel transcript
ENSG00000266979,LINC01180,lncRNA,17,44646364,44655076,-1,long intergenic non-protein coding RNA 1180 [Source:HGNC Symbol;Acc:HGNC:49558]
ENSG00000267019,NTF6A,unprocessed_pseudogene,19,49025461,49026020,-1,neurotrophin 6 alpha (pseudogene) [Source:HGNC Symbol;Acc:HGNC:8025]
ENSG00000267046,E2F3P1,processed_pseudogene,17,35490009,35491238,1,E2F transcription factor 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:3116]
ENSG00000267055,,lncRNA,7,20096137,20130475,1,novel transcript
ENSG00000267083,KRT18P61,processed_pseudogene,17,60810165,60811462,1,keratin 18 pseudogene 61 [Source:HGNC Symbol;Acc:HGNC:48888]
ENSG00000269266,DNAJC19P2,processed_pseudogene,19,41605341,41605671,-1,DnaJ heat shock protein family (Hsp40) member C19 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:45065]
ENSG00000274134,MIR6774,miRNA,16,85918347,85918416,1,microRNA 6774 [Source:HGNC Symbol;Acc:HGNC:50202]
ENSG00000274286,ADRA2B,protein_coding,2,96112876,96116571,-1,adrenoceptor alpha 2B [Source:HGNC Symbol;Acc:HGNC:282]
ENSG00000274372,,lncRNA,1,148011348,148025934,1,novel transcript
ENSG00000276544,RN7SL453P,misc_RNA,10,47692399,47692727,-1,"RNA, 7SL, cytoplasmic 453, pseudogene [Source:HGNC Symbol;Acc:HGNC:46469]"
ENSG00000278237,,misc_RNA,5,76712763,76712861,1,
ENSG00000278317,H3P46,processed_pseudogene,X,120709061,120709392,-1,H3 histone pseudogene 46 [Source:HGNC Symbol;Acc:HGNC:54474]
ENSG00000280197,ZBTB7C-AS2,TEC,18,48252301,48252837,1,ZBTB7C antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:24918]
ENSG00000281468,,lncRNA,19,27802838,27803472,1,"novel transcript, sense intronic to novel transcript"
ENSG00000014123,UFL1,protein_coding,6,96521595,96555276,1,UFM1 specific ligase 1 [Source:HGNC Symbol;Acc:HGNC:23039]
ENSG00000070785,EIF2B3,protein_coding,1,44850522,44986722,-1,eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]
ENSG00000075413,MARK3,protein_coding,14,103385361,103503831,1,microtubule affinity regulating kinase 3 [Source:HGNC Symbol;Acc:HGNC:6897]
ENSG00000076351,SLC46A1,protein_coding,17,28394642,28407197,-1,solute carrier family 46 member 1 [Source:HGNC Symbol;Acc:HGNC:30521]
ENSG00000083844,ZNF264,protein_coding,19,57191500,57222846,1,zinc finger protein 264 [Source:HGNC Symbol;Acc:HGNC:13057]
ENSG00000085276,MECOM,protein_coding,3,169083499,169663775,-1,MDS1 and EVI1 complex locus [Source:HGNC Symbol;Acc:HGNC:3498]
ENSG00000088826,SMOX,protein_coding,20,4120980,4187748,1,spermine oxidase [Source:HGNC Symbol;Acc:HGNC:15862]
ENSG00000092067,CEBPE,protein_coding,14,23117036,23120256,-1,CCAAT enhancer binding protein epsilon [Source:HGNC Symbol;Acc:HGNC:1836]
ENSG00000100890,PRORP,protein_coding,14,35121842,35277622,1,protein only RNase P catalytic subunit [Source:HGNC Symbol;Acc:HGNC:19958]
ENSG00000101773,RBBP8,protein_coding,18,22798261,23026488,1,"RB binding protein 8, endonuclease [Source:HGNC Symbol;Acc:HGNC:9891]"
ENSG00000106351,AGFG2,protein_coding,7,100539190,100568220,1,ArfGAP with FG repeats 2 [Source:HGNC Symbol;Acc:HGNC:5177]
ENSG00000108604,SMARCD2,protein_coding,17,63832081,63843065,-1,SWI/SNF related BAF chromatin remodeling complex subunit D2 [Source:HGNC Symbol;Acc:HGNC:11107]
ENSG00000137955,RABGGTB,protein_coding,1,75786188,75795086,1,Rab geranylgeranyltransferase subunit beta [Source:HGNC Symbol;Acc:HGNC:9796]
ENSG00000138433,CIR1,protein_coding,2,174348022,174395712,-1,"corepressor interacting with RBPJ, CIR1 [Source:HGNC Symbol;Acc:HGNC:24217]"
ENSG00000139675,HNRNPA1L2,protein_coding,13,52642431,52643773,1,heterogeneous nuclear ribonucleoprotein A1 like 2 [Source:HGNC Symbol;Acc:HGNC:27067]
ENSG00000142484,TM4SF5,protein_coding,17,4771849,4783213,1,transmembrane 4 L six family member 5 [Source:HGNC Symbol;Acc:HGNC:11857]
ENSG00000143207,COP1,protein_coding,1,175944828,176207510,-1,COP1 E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:17440]
ENSG00000147548,NSD3,protein_coding,8,38269704,38382279,-1,nuclear receptor binding SET domain protein 3 [Source:HGNC Symbol;Acc:HGNC:12767]
ENSG00000148950,IMMP1L,protein_coding,11,31432399,31509645,-1,inner mitochondrial membrane peptidase subunit 1 [Source:HGNC Symbol;Acc:HGNC:26317]
ENSG00000149798,CDC42EP2,protein_coding,11,65314834,65322662,1,CDC42 effector protein 2 [Source:HGNC Symbol;Acc:HGNC:16263]
ENSG00000162909,CAPN2,protein_coding,1,223701593,223776018,1,calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]
ENSG00000165392,WRN,protein_coding,8,31033779,31176138,1,WRN RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:12791]
ENSG00000166359,WDR88,protein_coding,19,33132090,33175799,1,WD repeat domain 88 [Source:HGNC Symbol;Acc:HGNC:26999]
ENSG00000166896,ATP23,protein_coding,12,57906039,57959148,1,ATP23 metallopeptidase and ATP synthase assembly factor homolog [Source:HGNC Symbol;Acc:HGNC:29452]
ENSG00000169836,TACR3,protein_coding,4,103586031,103719985,-1,tachykinin receptor 3 [Source:HGNC Symbol;Acc:HGNC:11528]
ENSG00000172469,MANEA,protein_coding,6,95577485,95609484,1,mannosidase endo-alpha [Source:HGNC Symbol;Acc:HGNC:21072]
ENSG00000176915,ANKLE2,protein_coding,12,132725503,132761832,-1,ankyrin repeat and LEM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29101]
ENSG00000179751,SYCN,protein_coding,19,39202825,39204263,-1,syncollin [Source:HGNC Symbol;Acc:HGNC:18442]
ENSG00000182551,ADI1,protein_coding,2,3497366,3519559,-1,acireductone dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:30576]
ENSG00000187033,SAMD7,protein_coding,3,169911572,169939175,1,sterile alpha motif domain containing 7 [Source:HGNC Symbol;Acc:HGNC:25394]
ENSG00000188647,PTAR1,protein_coding,9,69709522,69760011,-1,protein prenyltransferase alpha subunit repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:30449]
ENSG00000196182,STK40,protein_coding,1,36339620,36385927,-1,serine/threonine kinase 40 [Source:HGNC Symbol;Acc:HGNC:21373]
ENSG00000199224,Y_RNA,misc_RNA,7,115833273,115833373,-1,Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000199357,Y_RNA,misc_RNA,18,23456371,23456467,1,Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000204442,NALF1,protein_coding,13,107163510,107867496,-1,NALCN channel auxiliary factor 1 [Source:HGNC Symbol;Acc:HGNC:33877]
ENSG00000206820,RNU1-138P,snRNA,4,113420323,113420486,1,"RNA, U1 small nuclear 138, pseudogene [Source:HGNC Symbol;Acc:HGNC:48480]"
ENSG00000207191,SNORD116-5,snoRNA,15,25062333,25062427,1,"small nucleolar RNA, C/D box 116-5 [Source:HGNC Symbol;Acc:HGNC:33071]"
ENSG00000207689,MIR548A2,miRNA,6,135239160,135239256,1,microRNA 548a-2 [Source:HGNC Symbol;Acc:HGNC:32797]
ENSG00000213177,PRDX2P4,processed_pseudogene,6,100136064,100136663,1,peroxiredoxin 2 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:44969]
ENSG00000213560,,processed_pseudogene,1,78091499,78092054,1,"signal sequence receptor, gamma (translocon-associated protein gamma) (SSR3) pseudogene"
ENSG00000217139,,processed_pseudogene,6,121682925,121684272,1,"LSM14A, SCD6 homolog A (S. cerevisiae) (LSM14A) pseudogene"
ENSG00000217385,PSMC1P11,transcribed_processed_pseudogene,6,4702463,4703779,1,"proteasome 26S subunit, ATPase 1 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:39786]"
ENSG00000222019,URAHP,transcribed_unprocessed_pseudogene,16,90043914,90047597,-1,"urate (hydroxyiso-) hydrolase, pseudogene [Source:HGNC Symbol;Acc:HGNC:43695]"
ENSG00000222741,RNA5SP229,rRNA_pseudogene,7,33177740,33177838,1,"RNA, 5S ribosomal pseudogene 229 [Source:HGNC Symbol;Acc:HGNC:43129]"
ENSG00000223001,RNU2-61P,snRNA,6,89063500,89063690,-1,"RNA, U2 small nuclear 61, pseudogene [Source:HGNC Symbol;Acc:HGNC:48554]"
ENSG00000223445,RPL6P21,processed_pseudogene,7,14070535,14071380,-1,ribosomal protein L6 pseudogene 21 [Source:HGNC Symbol;Acc:HGNC:35994]
ENSG00000223539,,unprocessed_pseudogene,5,135742462,135746356,-1,"nucleotide binding protein 1 (MinD homolog, E. coli)"
ENSG00000223803,RPS20P14,processed_pseudogene,3,186900198,186900557,1,ribosomal protein S20 pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:36692]
ENSG00000224079,CHLSN-AS1,lncRNA,7,1074259,1078072,1,CHLSN antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58147]
ENSG00000225496,RTRAFP1,processed_pseudogene,2,111940302,111941036,-1,RTRAF pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54647]
ENSG00000225551,,unprocessed_pseudogene,9,92539053,92539184,-1,pseudogene similar to part of cytochrome c oxidase I MTCO1
ENSG00000226545,,unprocessed_pseudogene,1,8798475,8799506,1,ribosomal protein L27 (RPL27) pseudogene
ENSG00000226861,,lncRNA,10,8292827,8301698,1,novel transcript
ENSG00000228141,,transcribed_unitary_pseudogene,15,82711246,82711877,-1,novel pseudogene
ENSG00000228594,FNDC10,protein_coding,1,1598012,1600135,-1,fibronectin type III domain containing 10 [Source:HGNC Symbol;Acc:HGNC:42951]
ENSG00000230522,MBD3L2,protein_coding,19,7049321,7051735,1,methyl-CpG binding domain protein 3 like 2 [Source:HGNC Symbol;Acc:HGNC:18532]
ENSG00000231207,,processed_pseudogene,1,27389468,27390145,1,ribosomal protein S24 (RPS24) pseudogene
ENSG00000231439,WASIR2,lncRNA,16,22845,25191,1,WASH and IL9R antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:38609]
ENSG00000231671,LINC01307,lncRNA,1,101320297,101390303,1,long intergenic non-protein coding RNA 1307 [Source:HGNC Symbol;Acc:HGNC:50494]
ENSG00000233671,CENPNP1,processed_pseudogene,2,87221113,87222488,-1,CENPN pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54592]
ENSG00000233974,,protein_coding,5,21481324,21484011,-1,novel protein
ENSG00000234173,,lncRNA,10,54486230,54656056,1,"novel transcript, antisense to PCDH15"
ENSG00000234421,SLC25A5P4,processed_pseudogene,13,57314739,57315909,1,solute carrier family 25 member 5 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:35471]
ENSG00000237007,KRT18P52,processed_pseudogene,2,31822591,31823436,-1,keratin 18 pseudogene 52 [Source:HGNC Symbol;Acc:HGNC:37888]
ENSG00000237398,HLA-DPA3,transcribed_unprocessed_pseudogene,6,33131216,33143325,-1,"major histocompatibility complex, class II, DP alpha 3 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:19393]"
ENSG00000237637,FRY-AS1,lncRNA,13,32025314,32031697,-1,FRY antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39725]
ENSG00000250374,TRIM75,protein_coding,4,165053866,165060554,1,tripartite motif containing 75 [Source:HGNC Symbol;Acc:HGNC:32686]
ENSG00000250667,,processed_pseudogene,5,17495658,17495826,-1,TAF11-like protein pseudogene
ENSG00000250868,XKRY,transcribed_unprocessed_pseudogene,Y,17769116,17777400,-1,"XK related, Y-linked (pseudogene) [Source:HGNC Symbol;Acc:HGNC:18571]"
ENSG00000252413,RNU7-121P,snRNA,1,39723566,39723627,-1,"RNA, U7 small nuclear 121 pseudogene [Source:HGNC Symbol;Acc:HGNC:45655]"
ENSG00000253590,IGLV3-13,IG_V_pseudogene,22,22762294,22762516,1,immunoglobulin lambda variable 3-13 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5899]
ENSG00000253615,,unprocessed_pseudogene,8,27903566,27903715,1,mitochondrially encoded NADH dehydrogenase 6 (MT-ND6) pseudogene
ENSG00000254174,IGHV1-12,IG_V_pseudogene,14,106122420,106122709,-1,immunoglobulin heavy variable 1-12 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5546]
ENSG00000255323,LINC01495,lncRNA,11,22445664,22550272,-1,long intergenic non-protein coding RNA 1495 [Source:HGNC Symbol;Acc:HGNC:51161]
ENSG00000257057,C11orf97,protein_coding,11,94512461,94532125,1,chromosome 11 open reading frame 97 [Source:HGNC Symbol;Acc:HGNC:49544]
ENSG00000257769,,lncRNA,16,15608474,15610563,1,novel transcript
ENSG00000258017,TUBA1B-AS1,lncRNA,12,49127782,49188484,1,TUBA1B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56356]
ENSG00000258713,C20orf141,protein_coding,20,2814987,2815833,1,chromosome 20 open reading frame 141 [Source:HGNC Symbol;Acc:HGNC:16134]
